,predicted_mean
2025-07-01,75.31335382809043
2025-08-01,79.42194567818451
2025-09-01,83.64229517474418
2025-10-01,81.94628467520079
2025-11-01,80.59678256749193
2025-12-01,75.35121869879919
2026-01-01,78.76302403542121
2026-02-01,80.63440442613886
2026-03-01,83.55945160770537
2026-04-01,82.47006557729458
2026-05-01,76.64221024312248
2026-06-01,81.54462373403932
2026-07-01,80.46968736040225
2026-08-01,80.84519188582328
2026-09-01,84.25105289593989
2026-10-01,84.98249368942957
2026-11-01,80.07284227179875
2026-12-01,76.20317766297318
2027-01-01,80.83508706107008
2027-02-01,83.95420321582523
2027-03-01,92.22512219276885
2027-04-01,86.95282003087247
2027-05-01,78.13347595807008
2027-06-01,77.82393250879657
2027-07-01,76.78310543308743
2027-08-01,79.81172395229636
2027-09-01,83.80762413127363
2027-10-01,82.80594248239498
2027-11-01,80.45710381698423
2027-12-01,75.58202931222151
2028-01-01,79.33512888543154
2028-02-01,81.57429440252247
2028-03-01,86.45283629781895
2028-04-01,83.78148779742372
2028-05-01,77.04955323229272
2028-06-01,80.59533336076474
2028-07-01,79.52519815087128
2028-08-01,80.57166057431137
2028-09-01,84.13294050791849
2028-10-01,84.42123725027818
2028-11-01,80.17659716754774
2028-12-01,76.03742979958622
2029-01-01,80.44058161203615
2029-02-01,83.34055673295697
2029-03-01,90.9442119267936
2029-04-01,86.15685607542132
2029-05-01,77.84603266593305
2029-06-01,78.59505598960733
2029-07-01,77.54392457432307
2029-08-01,80.01797616580762
2029-09-01,83.89551886705898
2029-10-01,83.25237442587711
2029-11-01,80.3820648677289
2029-12-01,75.70490878748068
2030-01-01,79.63648675706352
2030-02-01,82.06244579949897
2030-03-01,87.81679918071826
2030-04-01,84.44999317778915
2030-05-01,77.2654205617849
2030-06-01,80.07244946427963
