date,actual,forecast,logit_pred,logit_actual,residuals,garch_lower,garch_upper,xgb_pred,blend_pred
2024-07-01,81.75,80.09050183690594,1.3919226155140927,1.4994581690705668,0.10753555355647415,65.37309328059133,89.55251219375006,90.69228,81.33111590263243
2024-08-01,80.49999999999999,77.11506343555547,1.2147890062504922,1.4178038604015062,0.20301485415101395,60.849733437315344,87.96011514540862,77.819916,77.19754530447817
2024-09-01,83.60000000000001,83.46614160888264,1.6189822585368898,1.6287131731606315,0.009730914623741649,69.59830074409325,91.75754748393261,84.58813,83.59743544193651
2024-10-01,85.0,81.71130579815535,1.49686686944309,1.7345461555802422,0.23767928613715217,66.58596199832296,90.92350261642636,82.262726,81.77583278713483
2024-11-01,78.25,80.46221720634716,1.4153987992702415,1.280261875402044,-0.13513692386819742,64.37727542787034,90.37084280972378,82.495514,80.7001525341933
2024-12-01,75.79999999999998,76.16355206880172,1.161638371906854,1.1417175305504945,-0.01992084135635941,57.98251077381123,88.0933548596521,77.819916,76.35737921791495
2025-01-01,82.0,87.70509047875709,1.9647246958831979,1.5163041304032774,-0.4484205654799205,75.20367870810941,94.37544325848943,83.2148,87.17963953229498
2025-02-01,86.5,83.69926040246514,1.6359702627378687,1.8573922177895426,0.22142195505167384,68.25172508970091,92.46112189205769,84.18766,83.75641316782053
2025-03-01,95.00000000000001,84.99507813935399,1.7341602019862483,2.9442495254241643,1.210089323437916,70.02413617259467,93.21395180140678,83.928345,84.87025013986694
2025-04-01,90.0,89.40952036057422,2.133188482377242,2.197135693385271,0.06394721100802903,77.42789867967063,95.40859753390689,79.89643,88.29630477473631
2025-05-01,81.75,82.40186740891065,1.543770618729411,1.4994581690705668,-0.044312449658844066,65.21679030991159,92.1223544781074,82.67542,82.43387841280592
2025-06-01,79.66666666666667,80.67184264687813,1.42878729672532,1.3655530608621196,-0.06323423586320032,62.22739164482884,91.36058047693919,80.72776,80.67838623746854
