,predicted_mean
2025-07-01,79.8827144883673
2025-08-01,77.92800942937704
2025-09-01,84.50816186380783
2025-10-01,82.65765348848102
2025-11-01,81.50828979713673
2025-12-01,74.25465694625187
2026-01-01,82.78218490113704
2026-02-01,88.26468219861907
2026-03-01,83.31190651222623
2026-04-01,84.28577332680145
2026-05-01,78.49730086057369
2026-06-01,82.39563905302262
2026-07-01,81.1028201804986
2026-08-01,79.51251676644672
2026-09-01,84.45565625607728
2026-10-01,84.08949460989382
2026-11-01,80.08905163604939
2026-12-01,75.32261050634783
2027-01-01,83.1437526920967
2027-02-01,87.20147401707385
2027-03-01,91.0458171832287
2027-04-01,86.69008312233251
2027-05-01,79.7373566920762
2027-06-01,80.36812724072507
2027-07-01,80.44317740507077
2027-08-01,78.65722712418635
2027-09-01,84.48436952394322
2027-10-01,83.31921171760824
2027-11-01,80.874604793939
2027-12-01,74.74266966805068
2028-01-01,82.94690476314449
2028-02-01,87.79235777201755
2028-03-01,87.3301845032982
2028-04-01,85.41720243546213
2028-05-01,79.06636147099438
2028-06-01,81.49731743839081
2028-07-01,80.80582134403224
2028-08-01,79.12784714662924
2028-09-01,84.46868255351275
2028-10-01,83.74381890733348
2028-11-01,80.44825345603007
2028-12-01,75.06073216831084
2029-01-01,83.05471120998786
2029-02-01,87.47239601532601
2029-03-01,89.50073294579516
2029-04-01,86.12491844430716
2029-05-01,79.43507893105307
2029-06-01,80.88653077310235
2029-07-01,80.60826859851605
2029-08-01,78.87159687226125
2029-09-01,84.47725738017652
2029-10-01,83.51285239146857
2029-11-01,80.68214792647669
2029-12-01,74.88723712592501
2030-01-01,82.99586033344498
2030-02-01,87.64814188321404
2030-03-01,88.35847217488426
2030-04-01,85.74177839013046
2030-05-01,79.23416726671813
2030-06-01,81.2222255923429
