,predicted_mean
2025-07-01,79.98882966186487
2025-08-01,79.90385058813393
2025-09-01,84.41081275803205
2025-10-01,82.3909003314594
2025-11-01,81.48737932335648
2025-12-01,76.80770929752518
2026-01-01,78.72961427677137
2026-02-01,83.01263883294214
2026-03-01,84.22831757323878
2026-04-01,83.08699356018401
2026-05-01,75.88453378857537
2026-06-01,81.65802597438922
2026-07-01,81.23827881218635
2026-08-01,78.40765889617889
2026-09-01,82.83753093814326
2026-10-01,83.91371995597909
2026-11-01,79.00253007893592
2026-12-01,74.72776483043792
2027-01-01,81.55144517753699
2027-02-01,87.96172150046623
2027-03-01,93.68357264205707
2027-04-01,89.58332487010284
2027-05-01,82.8776901643065
2027-06-01,82.4398997488301
2027-07-01,80.26258932394428
2027-08-01,79.58889781687662
2027-09-01,84.08284355667746
2027-10-01,82.72754668918343
2027-11-01,80.97310105507356
2027-12-01,76.3708644968217
2028-01-01,79.36173944983554
2028-02-01,84.19755170863544
2028-03-01,86.93117257451894
2028-04-01,84.71182749851305
2028-05-01,77.53775288470803
2028-06-01,81.82835018465876
2028-07-01,81.03171426029422
2028-08-01,78.66570310470807
2028-09-01,83.11159223054625
2028-10-01,83.66441520134889
2028-11-01,79.4384335970038
2028-12-01,75.0872697290856
2029-01-01,81.09640026001833
2029-02-01,87.22411197922331
2029-03-01,92.58337161202088
2029-04-01,88.66795232154749
2029-05-01,81.82168084155424
2029-06-01,82.30981787512708
2029-07-01,80.42988718123685
2029-08-01,79.3929779910101
2029-09-01,83.87795091592066
2029-10-01,82.93246577412708
2029-11-01,80.65075809312403
2029-12-01,76.09883205059361
2030-01-01,79.74432569792313
2030-02-01,84.89379396494988
2030-03-01,88.39321500756921
2030-04-01,85.64801344676407
2030-05-01,78.51572226512374
2030-06-01,81.93270286003977
