,predicted_mean
2025-07-01,82.90456051460835
2025-08-01,80.97808745485456
2025-09-01,85.39071996635894
2025-10-01,84.64715579298402
2025-11-01,78.47663965036524
2025-12-01,76.64014309646629
2026-01-01,81.00438314130916
2026-02-01,84.67505254770289
2026-03-01,94.42458258281009
2026-04-01,88.10247765887036
2026-05-01,78.60013324749735
2026-06-01,76.26165526548567
2026-07-01,82.90456051460835
2026-08-01,80.97808745485456
2026-09-01,85.39071996635894
2026-10-01,84.64715579298402
2026-11-01,78.47663965036524
2026-12-01,76.64014309646629
2027-01-01,81.00438314130916
2027-02-01,84.67505254770289
2027-03-01,94.42458258281009
2027-04-01,88.10247765887036
2027-05-01,78.60013324749735
2027-06-01,76.26165526548567
2027-07-01,82.90456051460835
2027-08-01,80.97808745485456
2027-09-01,85.39071996635894
2027-10-01,84.64715579298402
2027-11-01,78.47663965036524
2027-12-01,76.64014309646629
2028-01-01,81.00438314130916
2028-02-01,84.67505254770289
2028-03-01,94.42458258281009
2028-04-01,88.10247765887036
2028-05-01,78.60013324749735
2028-06-01,76.26165526548567
2028-07-01,82.90456051460835
2028-08-01,80.97808745485456
2028-09-01,85.39071996635894
2028-10-01,84.64715579298402
2028-11-01,78.47663965036524
2028-12-01,76.64014309646629
2029-01-01,81.00438314130916
2029-02-01,84.67505254770289
2029-03-01,94.42458258281009
2029-04-01,88.10247765887036
2029-05-01,78.60013324749735
2029-06-01,76.26165526548567
2029-07-01,82.90456051460835
2029-08-01,80.97808745485456
2029-09-01,85.39071996635894
2029-10-01,84.64715579298402
2029-11-01,78.47663965036524
2029-12-01,76.64014309646629
2030-01-01,81.00438314130916
2030-02-01,84.67505254770289
2030-03-01,94.42458258281009
2030-04-01,88.10247765887036
2030-05-01,78.60013324749735
2030-06-01,76.26165526548567
