[2025-06-27 11:18:38,082] INFO HU BLEND metrics: {'Country': 'HU', 'SARIMAX_RMSE': 6.427308962814326, 'SARIMAX_MAPE': 5.637952079903984, 'SARIMAX_GARCH_Coverage': 100.0, 'XGB_RMSE': 5.468278454563865, 'XGB_MAPE': 4.92424010194458, 'BLEND_RMSE': 5.401811140103734, 'BLEND_MAPE': 4.566560547332397, 'Blend_Ratio': 0.19628580518529895}
[2025-06-27 11:19:03,172] INFO IE BLEND metrics: {'Country': 'IE', 'SARIMAX_RMSE': 6.639762045745041, 'SARIMAX_MAPE': 5.86736593281567, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 6.846134780996155, 'XGB_MAPE': 5.66079449898961, 'BLEND_RMSE': 6.523069742951395, 'BLEND_MAPE': 5.603664979326785, 'Blend_Ratio': 0.6264101045110693}
[2025-06-27 11:19:33,467] INFO IL BLEND metrics: {'Country': 'IL', 'SARIMAX_RMSE': 4.084360592089941, 'SARIMAX_MAPE': 3.6274434125410724, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.068987982572052, 'XGB_MAPE': 4.467417834261299, 'BLEND_RMSE': 4.072433707807192, 'BLEND_MAPE': 3.535655688423368, 'Blend_Ratio': 0.9062212934495582}
[2025-06-27 11:20:00,344] INFO IT BLEND metrics: {'Country': 'IT', 'SARIMAX_RMSE': 4.608303445437984, 'SARIMAX_MAPE': 4.424526942765863, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.776896806887808, 'XGB_MAPE': 4.523540897566349, 'BLEND_RMSE': 4.481490191569523, 'BLEND_MAPE': 3.8120924958967843, 'Blend_Ratio': 0.7725002132385389}
[2025-06-27 11:20:37,289] INFO KR BLEND metrics: {'Country': 'KR', 'SARIMAX_RMSE': 5.9714250275329315, 'SARIMAX_MAPE': 5.602972617790131, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.020171939590987, 'XGB_MAPE': 4.065054834325333, 'BLEND_RMSE': 4.90028616922554, 'BLEND_MAPE': 4.019512961175009, 'Blend_Ratio': 0.24204075410517806}
[2025-06-27 11:21:04,946] INFO LT BLEND metrics: {'Country': 'LT', 'SARIMAX_RMSE': 4.1858636776352665, 'SARIMAX_MAPE': 4.154780530978716, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 4.823642540190282, 'XGB_MAPE': 5.114382271177952, 'BLEND_RMSE': 4.099773105996653, 'BLEND_MAPE': 4.260956378325522, 'Blend_Ratio': 0.7503161150373717}
[2025-06-27 11:21:36,214] INFO LU BLEND metrics: {'Country': 'LU', 'SARIMAX_RMSE': 9.163579299340975, 'SARIMAX_MAPE': 9.007247071441684, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 6.857919587478272, 'XGB_MAPE': 6.464393238490429, 'BLEND_RMSE': 6.857918110323822, 'BLEND_MAPE': 6.464399034561692, 'Blend_Ratio': 8.371655497892763e-06}
[2025-06-27 11:22:03,045] INFO LV BLEND metrics: {'Country': 'LV', 'SARIMAX_RMSE': 4.587984050736409, 'SARIMAX_MAPE': 4.54869203578185, 'SARIMAX_GARCH_Coverage': 100.0, 'XGB_RMSE': 5.077205766335702, 'XGB_MAPE': 5.158990538922409, 'BLEND_RMSE': 4.357137065176778, 'BLEND_MAPE': 4.501106929732997, 'Blend_Ratio': 0.6446702259531107}
[2025-06-27 11:22:33,711] INFO MX BLEND metrics: {'Country': 'MX', 'SARIMAX_RMSE': 5.723285306220343, 'SARIMAX_MAPE': 5.332191317415899, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.8124343060253025, 'XGB_MAPE': 5.229323593781921, 'BLEND_RMSE': 5.390205789740896, 'BLEND_MAPE': 4.651126445246223, 'Blend_Ratio': 0.5302414141963571}
[2025-06-27 11:23:02,859] INFO NL BLEND metrics: {'Country': 'NL', 'SARIMAX_RMSE': 3.789743500244455, 'SARIMAX_MAPE': 3.0843951777890304, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.409786156725347, 'XGB_MAPE': 4.688309731616408, 'BLEND_RMSE': 3.7544691251779203, 'BLEND_MAPE': 3.035694439163011, 'Blend_Ratio': 0.8829806095008577}
[2025-06-27 11:23:31,499] INFO NO BLEND metrics: {'Country': 'NO', 'SARIMAX_RMSE': 4.160558682282905, 'SARIMAX_MAPE': 4.383491424172336, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.055027651740676, 'XGB_MAPE': 4.939780684027372, 'BLEND_RMSE': 3.9675727700478016, 'BLEND_MAPE': 3.9493449992292042, 'Blend_Ratio': 0.7143934470613178}
[2025-06-27 11:23:58,183] INFO PL BLEND metrics: {'Country': 'PL', 'SARIMAX_RMSE': 7.376676739215373, 'SARIMAX_MAPE': 6.596416352425805, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 4.672472621096212, 'XGB_MAPE': 3.6709039151719067, 'BLEND_RMSE': 4.672476511591579, 'BLEND_MAPE': 3.6708992604574253, 'Blend_Ratio': 5.9608609865491405e-06}
[2025-06-27 11:24:40,378] INFO PT BLEND metrics: {'Country': 'PT', 'SARIMAX_RMSE': 6.888025068710593, 'SARIMAX_MAPE': 6.343370959255516, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.879118938966628, 'XGB_MAPE': 4.8636554567328005, 'BLEND_RMSE': 5.610315406352977, 'BLEND_MAPE': 4.740476321440937, 'Blend_Ratio': 0.30544823862306725}
[2025-06-27 11:25:10,470] INFO SE BLEND metrics: {'Country': 'SE', 'SARIMAX_RMSE': 7.19816544371608, 'SARIMAX_MAPE': 6.863130838408465, 'SARIMAX_GARCH_Coverage': 100.0, 'XGB_RMSE': 5.070801456869729, 'XGB_MAPE': 4.539869742002826, 'BLEND_RMSE': 5.0708059991593055, 'BLEND_MAPE': 4.539879970545501, 'Blend_Ratio': 5.9608609865491405e-06}
[2025-06-27 11:25:38,450] INFO SI BLEND metrics: {'Country': 'SI', 'SARIMAX_RMSE': 5.83239948834743, 'SARIMAX_MAPE': 5.473000592959154, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.071425538650768, 'XGB_MAPE': 4.522226260705551, 'BLEND_RMSE': 5.037944181392899, 'BLEND_MAPE': 4.458399167959851, 'Blend_Ratio': 0.1644015364026436}
[2025-06-27 11:26:05,886] INFO SK BLEND metrics: {'Country': 'SK', 'SARIMAX_RMSE': 5.859918870008844, 'SARIMAX_MAPE': 5.8241353915022644, 'SARIMAX_GARCH_Coverage': 100.0, 'XGB_RMSE': 6.094999219928467, 'XGB_MAPE': 5.329106937834331, 'BLEND_RMSE': 5.506523015514283, 'BLEND_MAPE': 5.167830226782763, 'Blend_Ratio': 0.5655821673323601}
[2025-06-27 11:26:29,415] INFO TR BLEND metrics: {'Country': 'TR', 'SARIMAX_RMSE': 4.556006545968049, 'SARIMAX_MAPE': 4.015905615702096, 'SARIMAX_GARCH_Coverage': 100.0, 'XGB_RMSE': 3.880951216380444, 'XGB_MAPE': 3.6770047150391614, 'BLEND_RMSE': 3.713559077995278, 'BLEND_MAPE': 3.3183084722007394, 'Blend_Ratio': 0.29916057723523}
[2025-06-27 11:27:17,482] INFO US BLEND metrics: {'Country': 'US', 'SARIMAX_RMSE': 6.0178828424292155, 'SARIMAX_MAPE': 5.712301105959846, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.617712348821857, 'XGB_MAPE': 4.936123712844754, 'BLEND_RMSE': 5.379042517184524, 'BLEND_MAPE': 4.779732195017312, 'Blend_Ratio': 0.3751838660626291}
