,predicted_mean
2025-07-01,81.28031907253364
2025-08-01,82.21327382844085
2025-09-01,85.15922632465534
2025-10-01,84.78931330687145
2025-11-01,81.11652590108554
2025-12-01,77.15042803281813
2026-01-01,84.38591608472335
2026-02-01,88.10511250577736
2026-03-01,89.7091501335425
2026-04-01,87.08467724802554
2026-05-01,80.93575073090065
2026-06-01,81.59430331630884
2026-07-01,82.04629751020627
2026-08-01,82.41577958257065
2026-09-01,85.20696713894385
2026-10-01,84.80257318836925
2026-11-01,81.12080921379325
2026-12-01,77.15176850133305
2027-01-01,84.38618852257554
2027-02-01,88.10517142806664
2027-03-01,89.70916424718052
2027-04-01,87.08468192339922
2027-05-01,80.93575247489699
2027-06-01,81.59430377786536
2027-07-01,82.04629763330482
2027-08-01,82.41577961550131
2027-09-01,85.20696714673196
2027-10-01,84.80257319053446
2027-11-01,81.12080921449287
2027-12-01,77.15176850155203
2028-01-01,84.38618852262002
2028-02-01,88.10517142807626
2028-03-01,89.70916424718281
2028-04-01,87.08468192339997
2028-05-01,80.93575247489727
2028-06-01,81.59430377786545
2028-07-01,82.04629763330483
2028-08-01,82.41577961550132
2028-09-01,85.20696714673196
2028-10-01,84.80257319053446
2028-11-01,81.12080921449287
2028-12-01,77.15176850155203
2029-01-01,84.38618852262002
2029-02-01,88.10517142807626
2029-03-01,89.70916424718281
2029-04-01,87.08468192339997
2029-05-01,80.93575247489727
2029-06-01,81.59430377786545
2029-07-01,82.04629763330483
2029-08-01,82.41577961550132
2029-09-01,85.20696714673196
2029-10-01,84.80257319053446
2029-11-01,81.12080921449287
2029-12-01,77.15176850155203
2030-01-01,84.38618852262002
2030-02-01,88.10517142807626
2030-03-01,89.70916424718281
2030-04-01,87.08468192339997
2030-05-01,80.93575247489727
2030-06-01,81.59430377786545
