STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,METHODOLOGY,Methodology,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,EXPENDITURE,Dépense,ADJUSTMENT,Ajustement,TRANSFORMATION,Transformation,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,BASE_PER,Période de base,DURABILITY,Durability,DECIMALS,Décimales
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,HUN,Hongrie,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-06,,3.7,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,ISL,Islande,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-06,,5.833144,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,FIN,Finlande,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-06,,1.275996,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,AUS,Australie,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,2.424688,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,BEL,Belgique,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,3.196524,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,CAN,Canada,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,1.889169,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,CZE,Tchéquie,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,2.834008,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,EST,Estonie,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,3.665639,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,FIN,Finlande,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,1.031183,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,FRA,France,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,1.260255,,A,Normal value,,,,,,,2,Two
