,predicted_mean
2025-07-01,80.56560779835146
2025-08-01,81.52956287735731
2025-09-01,85.63070323686883
2025-10-01,86.94346725551908
2025-11-01,80.56864491437065
2025-12-01,76.94540235387883
2026-01-01,81.34989064316528
2026-02-01,85.69251419785282
2026-03-01,94.4998976810475
2026-04-01,89.56477329467657
2026-05-01,80.90224556463671
2026-06-01,78.747359175991
2026-07-01,80.56559622611914
2026-08-01,81.52955881099034
2026-09-01,85.63070202291411
2026-10-01,86.94346684633194
2026-11-01,80.5686447081973
2026-12-01,76.94540226852618
2027-01-01,81.34989061649449
2027-02-01,85.69251418997823
2027-03-01,94.49989767982768
2027-04-01,89.56477329387526
2027-05-01,80.90224556415276
2027-06-01,78.74735917579947
2027-07-01,80.56559622605367
2027-08-01,81.52955881096733
2027-09-01,85.63070202290723
2027-10-01,86.94346684632963
2027-11-01,80.56864470819613
2027-12-01,76.9454022685257
2028-01-01,81.34989061649433
2028-02-01,85.6925141899782
2028-03-01,94.49989767982768
2028-04-01,89.56477329387526
2028-05-01,80.90224556415276
2028-06-01,78.74735917579947
2028-07-01,80.56559622605367
2028-08-01,81.52955881096733
2028-09-01,85.63070202290723
2028-10-01,86.94346684632963
2028-11-01,80.56864470819613
2028-12-01,76.9454022685257
2029-01-01,81.34989061649433
2029-02-01,85.6925141899782
2029-03-01,94.49989767982768
2029-04-01,89.56477329387526
2029-05-01,80.90224556415276
2029-06-01,78.74735917579947
2029-07-01,80.56559622605367
2029-08-01,81.52955881096733
2029-09-01,85.63070202290723
2029-10-01,86.94346684632963
2029-11-01,80.56864470819613
2029-12-01,76.9454022685257
2030-01-01,81.34989061649433
2030-02-01,85.6925141899782
2030-03-01,94.49989767982768
2030-04-01,89.56477329387526
2030-05-01,80.90224556415276
2030-06-01,78.74735917579947
