date,actual,forecast,logit_pred,logit_actual,residuals,garch_lower,garch_upper,xgb_pred,blend_pred
2024-07-01,81.75,85.07464964016305,1.7404127248886272,1.4994581690705668,-0.24095455581806036,74.22092958835597,91.86002978312227,83.23602,84.90884004337029
2024-08-01,80.49999999999999,81.43416561957284,1.4784302985060258,1.4178038604015062,-0.06062643810451962,68.58400218909647,89.80938957700168,77.527794,81.08188437523636
2024-09-01,83.60000000000001,83.5801230097346,1.6272641807945318,1.6287131731606315,0.0014489923660996329,71.40496749087502,91.20974236549199,80.343506,83.28824068453962
2024-10-01,85.0,83.13041149399804,1.594850846041069,1.7345461555802422,0.13969530953917308,70.44463446954718,91.06225811220548,78.799324,82.7398286843045
2024-11-01,78.25,83.29905649583459,1.6069241372475627,1.280261875402044,-0.3266622618455186,70.4068527843261,91.27132982865099,80.19676,83.01928789625184
2024-12-01,75.79999999999998,74.34275219274227,1.0638345651279675,1.1417175305504945,0.07788296542252704,57.68885498369833,86.02925495256083,79.567085,74.81388859434978
2025-01-01,82.0,86.98605009091766,1.8996605683132863,1.5163041304032774,-0.38335643791000895,75.62947540439129,93.50523229358616,84.3333,86.74682138938935
2025-02-01,86.5,83.71583372335584,1.6371854279336455,1.8573922177895426,0.22020678985589703,70.19976044364748,91.81650684732003,81.02367,83.4730507934503
2025-03-01,95.00000000000001,87.64043956002797,1.958743146384247,2.9442495254241643,0.9855063790399172,76.2322412046723,94.00384284795712,81.51686,87.088208023062
2025-04-01,90.0,91.15857714424504,2.33305064795383,2.197135693385271,-0.1359149545685594,82.15733064253689,95.84863192083517,80.37383,90.18599600587649
2025-05-01,81.75,79.09456233668176,1.3305996375515394,1.4994581690705668,0.1688585315190274,62.52807368477643,89.56006321937176,81.338234,79.29689911869853
2025-06-01,79.66666666666667,84.35527579534049,1.684851542169209,1.3655530608621196,-0.3192984813070894,70.13924946974507,92.52495089784543,79.863365,83.95018960076925
