,predicted_mean
2025-07-01,77.32859887112502
2025-08-01,80.55815347358605
2025-09-01,84.56830305606742
2025-10-01,82.99305409408501
2025-11-01,81.45687009304991
2025-12-01,76.9856273338007
2026-01-01,80.342178652499
2026-02-01,82.76223699113424
2026-03-01,86.04629755077126
2026-04-01,84.45888901709765
2026-05-01,80.06465135019059
2026-06-01,84.006107509414
2026-07-01,81.81757255108859
2026-08-01,81.09639617922991
2026-09-01,84.15925930051475
2026-10-01,84.4581428965601
2026-11-01,78.99743250343903
2026-12-01,75.87208028319662
2027-01-01,81.24271503138539
2027-02-01,85.2626259235837
2027-03-01,93.0860244116082
2027-04-01,88.41168202887896
2027-05-01,80.9785228324532
2027-06-01,80.7064665457506
2027-07-01,78.70272961503068
2027-08-01,80.7150158120259
2027-09-01,84.45088975925894
2027-10-01,83.42775642130896
2027-11-01,80.76922703196857
2027-12-01,76.66729615661407
2028-01-01,80.60595305570203
2028-02-01,83.51816518068219
2028-03-01,88.54392987927196
2028-04-01,85.70365805474114
2028-05-01,80.3323154956115
2028-06-01,83.10157500913341
2028-07-01,80.95479525350535
2028-08-01,80.98668666173127
2028-09-01,84.24406178310902
2028-10-01,84.16561123989007
2028-11-01,79.52190750714823
2028-12-01,76.10396855509234
2029-01-01,81.06021210928483
2029-02-01,84.77437320322743
2029-03-01,91.97866542521984
2029-04-01,87.67781892572434
2029-05-01,80.79330493205742
2029-06-01,81.4246833845259
2029-07-01,79.37344655197614
2029-08-01,80.79389420568843
2029-09-01,84.39129709353298
2029-10-01,83.64395705080038
2029-11-01,80.41452027052809
2029-12-01,76.50531814153358
2030-01-01,80.73818392607285
2030-02-01,83.88982497119424
2030-03-01,89.65134786268536
2030-04-01,86.30030034283142
2030-05-01,80.46650143598843
2030-06-01,82.62933503637154
