,predicted_mean
2025-07-01,76.1040504182421
2025-08-01,79.49584244270714
2025-09-01,83.60887968856825
2025-10-01,84.97496858671731
2025-11-01,78.20327000753726
2025-12-01,75.78219419612431
2026-01-01,81.8951354038497
2026-02-01,86.40667822324234
2026-03-01,94.98005565640943
2026-04-01,89.96386704477699
2026-05-01,81.66104629964796
2026-06-01,79.57009681173473
2026-07-01,76.1040504182421
2026-08-01,79.49584244270714
2026-09-01,83.60887968856825
2026-10-01,84.97496858671731
2026-11-01,78.20327000753726
2026-12-01,75.78219419612431
2027-01-01,81.8951354038497
2027-02-01,86.40667822324234
2027-03-01,94.98005565640943
2027-04-01,89.96386704477699
2027-05-01,81.66104629964796
2027-06-01,79.57009681173473
2027-07-01,76.1040504182421
2027-08-01,79.49584244270714
2027-09-01,83.60887968856825
2027-10-01,84.97496858671731
2027-11-01,78.20327000753726
2027-12-01,75.78219419612431
2028-01-01,81.8951354038497
2028-02-01,86.40667822324234
2028-03-01,94.98005565640943
2028-04-01,89.96386704477699
2028-05-01,81.66104629964796
2028-06-01,79.57009681173473
2028-07-01,76.1040504182421
2028-08-01,79.49584244270714
2028-09-01,83.60887968856825
2028-10-01,84.97496858671731
2028-11-01,78.20327000753726
2028-12-01,75.78219419612431
2029-01-01,81.8951354038497
2029-02-01,86.40667822324234
2029-03-01,94.98005565640943
2029-04-01,89.96386704477699
2029-05-01,81.66104629964796
2029-06-01,79.57009681173473
2029-07-01,76.1040504182421
2029-08-01,79.49584244270714
2029-09-01,83.60887968856825
2029-10-01,84.97496858671731
2029-11-01,78.20327000753726
2029-12-01,75.78219419612431
2030-01-01,81.8951354038497
2030-02-01,86.40667822324234
2030-03-01,94.98005565640943
2030-04-01,89.96386704477699
2030-05-01,81.66104629964796
2030-06-01,79.57009681173473
