date,actual,forecast,logit_pred,logit_actual,residuals,garch_lower,garch_upper,xgb_pred,blend_pred
2024-07-01,81.75,78.2532763994541,1.2804543883858646,1.4994581690705668,0.21900378068470228,56.92787511693699,90.73838712365837,77.17335,77.78413602989858
2024-08-01,80.49999999999999,83.50560119640366,1.6218442033467397,1.4178038604015062,-0.20404034294523354,64.47232282731699,93.38825251643016,78.5042,81.33290516027441
2024-09-01,83.60000000000001,84.74251760483875,1.7144936838442149,1.6287131731606315,-0.08578051068358339,66.03287098534129,94.07214920542852,81.02271,83.12656871672547
2024-10-01,85.0,78.30138236800396,1.283283388943929,1.7345461555802422,0.45126276663631315,55.23701603392699,91.34434751272967,77.79802,78.08271384193466
2024-11-01,78.25,83.75533378361729,1.6400856162826234,1.280261875402044,-0.35982374088057933,63.28048576462114,93.91216607235998,78.33959,81.4026391432628
2024-12-01,75.79999999999998,79.66675386507997,1.3655584436333876,1.1417175305504945,-0.2238409130828931,56.15381836452379,92.30007147850824,77.6378,78.78534064615616
2025-01-01,82.0,73.58816720198193,1.0246478472640015,1.5163041304032774,0.4916562831392759,47.11815596296489,89.70419513920885,76.39946,74.80944418913062
2025-02-01,86.5,82.55676955919549,1.5544893251579397,1.8573922177895426,0.30290289263160286,59.69979148490218,93.79738137515575,79.53654,81.2447263464101
2025-03-01,95.00000000000001,85.60124106497125,1.7824999976517162,2.9442495254241643,1.161749527772448,64.56331842905246,95.09819860943179,79.59265,82.99100486925298
2025-04-01,90.0,90.18913427884262,2.2183276038833037,2.197135693385271,-0.02119191049803293,73.4001227860422,96.8384021637318,83.98074,87.49210071543284
2025-05-01,81.75,92.79456206171126,2.5554240314412926,1.4994581690705668,-1.0559658623707258,79.11313911217995,97.7677009891738,83.734924,88.85889557244172
2025-06-01,79.66666666666667,81.31073951392112,1.4702878450344288,1.3655530608621196,-0.10473478417230919,55.639829669133896,93.78578099735635,78.42203,80.05583259588946
