,predicted_mean
2025-07-01,74.74064638251137
2025-08-01,78.63663693241314
2025-09-01,82.89941658775341
2025-10-01,81.042158495291
2025-11-01,80.3006165988583
2025-12-01,75.262169170632
2026-01-01,79.15278380262838
2026-02-01,80.85555498464691
2026-03-01,82.36571520086419
2026-04-01,82.4598235720006
2026-05-01,72.05392604204476
2026-06-01,79.41255341072232
2026-07-01,78.2927854601669
2026-08-01,79.61894913125454
2026-09-01,82.67791936970674
2026-10-01,84.21065313072135
2026-11-01,77.84126923308825
2026-12-01,73.80888234347344
2027-01-01,81.53071944048177
2027-02-01,85.27891331705236
2027-03-01,93.65046061121534
2027-04-01,90.15612172456457
2027-05-01,81.32004012866498
2027-06-01,80.86110387530407
2027-07-01,75.45782964248987
2027-08-01,78.82959068035215
2027-09-01,82.85668406792115
2027-10-01,81.69187345245689
2027-11-01,79.84079948692498
2027-12-01,74.98491116602544
2028-01-01,79.63045181209431
2028-02-01,81.78526626744099
2028-03-01,85.37186337607055
2028-04-01,84.25073086929623
2028-05-01,74.05077798108927
2028-06-01,79.6993806972131
2028-07-01,77.76263408953967
2028-08-01,79.46776131455357
2028-09-01,82.7126646394623
2028-10-01,83.74574286954885
2028-11-01,78.2394255454234
2028-12-01,74.03946661733448
2029-01-01,81.17361353678628
2029-02-01,84.64844095328192
2029-03-01,92.49494749814401
2029-04-01,89.19223703985537
2029-05-01,80.04526705164152
2029-06-01,80.64008348122017
2029-07-01,75.9166290176292
2029-08-01,78.95434169184591
2029-09-01,82.82885890681686
2029-10-01,82.1048982338097
2029-11-01,79.53760246443109
2029-12-01,74.80356294506879
2030-01-01,79.93658179084241
2030-02-01,82.37060665040394
2030-03-01,87.08926720699806
2030-04-01,85.33330699877055
2030-05-01,75.29809627409686
2030-06-01,79.88423966136922
