,predicted_mean
2025-07-01,80.01145696705936
2025-08-01,81.03570653173786
2025-09-01,84.52144257919285
2025-10-01,83.90862250174249
2025-11-01,80.80550191415307
2025-12-01,75.7161646085195
2026-01-01,83.44153936321116
2026-02-01,87.99502152386755
2026-03-01,89.23008189385249
2026-04-01,86.37826081733499
2026-05-01,80.49061129895195
2026-06-01,80.08532514698994
2026-07-01,80.01145696705936
2026-08-01,81.03570653173786
2026-09-01,84.52144257919285
2026-10-01,83.90862250174249
2026-11-01,80.80550191415307
2026-12-01,75.7161646085195
2027-01-01,83.44153936321116
2027-02-01,87.99502152386755
2027-03-01,89.23008189385249
2027-04-01,86.37826081733499
2027-05-01,80.49061129895195
2027-06-01,80.08532514698994
2027-07-01,80.01145696705936
2027-08-01,81.03570653173786
2027-09-01,84.52144257919285
2027-10-01,83.90862250174249
2027-11-01,80.80550191415307
2027-12-01,75.7161646085195
2028-01-01,83.44153936321116
2028-02-01,87.99502152386755
2028-03-01,89.23008189385249
2028-04-01,86.37826081733499
2028-05-01,80.49061129895195
2028-06-01,80.08532514698994
2028-07-01,80.01145696705936
2028-08-01,81.03570653173786
2028-09-01,84.52144257919285
2028-10-01,83.90862250174249
2028-11-01,80.80550191415307
2028-12-01,75.7161646085195
2029-01-01,83.44153936321116
2029-02-01,87.99502152386755
2029-03-01,89.23008189385249
2029-04-01,86.37826081733499
2029-05-01,80.49061129895195
2029-06-01,80.08532514698994
2029-07-01,80.01145696705936
2029-08-01,81.03570653173786
2029-09-01,84.52144257919285
2029-10-01,83.90862250174249
2029-11-01,80.80550191415307
2029-12-01,75.7161646085195
2030-01-01,83.44153936321116
2030-02-01,87.99502152386755
2030-03-01,89.23008189385249
2030-04-01,86.37826081733499
2030-05-01,80.49061129895195
2030-06-01,80.08532514698994
