,predicted_mean
2025-07-01,81.42921991099999
2025-08-01,79.93785522460192
2025-09-01,88.71233509872323
2025-10-01,89.16025936352706
2025-11-01,84.80532671098352
2025-12-01,78.40579904265255
2026-01-01,85.61183724371892
2026-02-01,86.8433059978894
2026-03-01,93.94511658757636
2026-04-01,85.58458718037991
2026-05-01,76.80017000497224
2026-06-01,74.32924763391686
2026-07-01,81.42921991099999
2026-08-01,79.93785522460192
2026-09-01,88.71233509872323
2026-10-01,89.16025936352706
2026-11-01,84.80532671098352
2026-12-01,78.40579904265255
2027-01-01,85.61183724371892
2027-02-01,86.8433059978894
2027-03-01,93.94511658757636
2027-04-01,85.58458718037991
2027-05-01,76.80017000497224
2027-06-01,74.32924763391686
2027-07-01,81.42921991099999
2027-08-01,79.93785522460192
2027-09-01,88.71233509872323
2027-10-01,89.16025936352706
2027-11-01,84.80532671098352
2027-12-01,78.40579904265255
2028-01-01,85.61183724371892
2028-02-01,86.8433059978894
2028-03-01,93.94511658757636
2028-04-01,85.58458718037991
2028-05-01,76.80017000497224
2028-06-01,74.32924763391686
2028-07-01,81.42921991099999
2028-08-01,79.93785522460192
2028-09-01,88.71233509872323
2028-10-01,89.16025936352706
2028-11-01,84.80532671098352
2028-12-01,78.40579904265255
2029-01-01,85.61183724371892
2029-02-01,86.8433059978894
2029-03-01,93.94511658757636
2029-04-01,85.58458718037991
2029-05-01,76.80017000497224
2029-06-01,74.32924763391686
2029-07-01,81.42921991099999
2029-08-01,79.93785522460192
2029-09-01,88.71233509872323
2029-10-01,89.16025936352706
2029-11-01,84.80532671098352
2029-12-01,78.40579904265255
2030-01-01,85.61183724371892
2030-02-01,86.8433059978894
2030-03-01,93.94511658757636
2030-04-01,85.58458718037991
2030-05-01,76.80017000497224
2030-06-01,74.32924763391686
