,predicted_mean
2025-07-01,75.40523548055823
2025-08-01,79.11840297601348
2025-09-01,83.78401769703177
2025-10-01,81.99624803305333
2025-11-01,80.73293606199044
2025-12-01,75.83575586129447
2026-01-01,79.04471126357444
2026-02-01,81.30279271671901
2026-03-01,84.42919264678885
2026-04-01,83.18487863357831
2026-05-01,76.17442259861713
2026-06-01,81.76623020122098
2026-07-01,80.41501254150211
2026-08-01,80.5673901503938
2026-09-01,84.65263373305133
2026-10-01,84.92084693706494
2026-11-01,79.20763861265564
2026-12-01,75.63233257640388
2027-01-01,81.03660509437447
2027-02-01,84.93898132737198
2027-03-01,93.25540632689832
2027-04-01,88.2334901856405
2027-05-01,79.94834223213785
2027-06-01,79.6143221713507
2027-07-01,76.68070591890118
2027-08-01,79.47288235871406
2027-09-01,83.99580505586235
2027-10-01,82.7354464898697
2027-11-01,80.37519756751448
2027-12-01,75.78709317745144
2028-01-01,79.53586399748758
2028-02-01,82.23194853595561
2028-03-01,87.15713600728824
2028-04-01,84.53391589350414
2028-05-01,77.12178706687585
2028-06-01,81.26695630985594
2028-07-01,79.56295016136801
2028-08-01,80.3090938777426
2028-09-01,84.4972062097343
2028-10-01,84.41859213498847
2028-11-01,79.49214012813788
2028-12-01,75.66949560637728
2029-01-01,80.68467342997684
2029-02-01,84.32262119926614
2029-03-01,92.09976624029046
2029-04-01,87.42331449661837
2029-05-01,79.29540295202008
2029-06-01,80.02016630645608
2029-07-01,77.39662516306595
2029-08-01,79.67572628018154
2029-09-01,84.11719356564785
2029-10-01,83.15163762332054
2029-11-01,80.1661469559906
2029-12-01,75.75893584231541
2030-01-01,79.81582617577486
2030-02-01,82.7522844389885
2030-03-01,88.54042653161356
2030-04-01,85.27254869189223
2030-05-01,77.65714478676573
2030-06-01,80.97361292267344
