,predicted_mean
2025-07-01,83.17293775107068
2025-08-01,82.861780236953
2025-09-01,85.74866891487372
2025-10-01,84.27744124695398
2025-11-01,81.44250323564643
2025-12-01,75.6541371409232
2026-01-01,83.98973473816686
2026-02-01,87.79952976462845
2026-03-01,89.48315734263343
2026-04-01,86.54761431481712
2026-05-01,80.43213962650117
2026-06-01,81.33519824335607
2026-07-01,83.17293775107068
2026-08-01,82.861780236953
2026-09-01,85.74866891487372
2026-10-01,84.27744124695398
2026-11-01,81.44250323564643
2026-12-01,75.6541371409232
2027-01-01,83.98973473816686
2027-02-01,87.79952976462845
2027-03-01,89.48315734263343
2027-04-01,86.54761431481712
2027-05-01,80.43213962650117
2027-06-01,81.33519824335607
2027-07-01,83.17293775107068
2027-08-01,82.861780236953
2027-09-01,85.74866891487372
2027-10-01,84.27744124695398
2027-11-01,81.44250323564643
2027-12-01,75.6541371409232
2028-01-01,83.98973473816686
2028-02-01,87.79952976462845
2028-03-01,89.48315734263343
2028-04-01,86.54761431481712
2028-05-01,80.43213962650117
2028-06-01,81.33519824335607
2028-07-01,83.17293775107068
2028-08-01,82.861780236953
2028-09-01,85.74866891487372
2028-10-01,84.27744124695398
2028-11-01,81.44250323564643
2028-12-01,75.6541371409232
2029-01-01,83.98973473816686
2029-02-01,87.79952976462845
2029-03-01,89.48315734263343
2029-04-01,86.54761431481712
2029-05-01,80.43213962650117
2029-06-01,81.33519824335607
2029-07-01,83.17293775107068
2029-08-01,82.861780236953
2029-09-01,85.74866891487372
2029-10-01,84.27744124695398
2029-11-01,81.44250323564643
2029-12-01,75.6541371409232
2030-01-01,83.98973473816686
2030-02-01,87.79952976462845
2030-03-01,89.48315734263343
2030-04-01,86.54761431481712
2030-05-01,80.43213962650117
2030-06-01,81.33519824335607
