,predicted_mean
2025-07-01,75.36474825459608
2025-08-01,78.2926876092907
2025-09-01,83.49329657584099
2025-10-01,81.56286297687365
2025-11-01,80.50334010957114
2025-12-01,76.0606523994738
2026-01-01,79.27931645065972
2026-02-01,80.7485222926218
2026-03-01,83.8734238212829
2026-04-01,83.01121481748797
2026-05-01,75.56677548384047
2026-06-01,81.73328514652685
2026-07-01,79.57536683802454
2026-08-01,80.53202803824087
2026-09-01,84.95816126904462
2026-10-01,84.54285411372209
2026-11-01,79.63722388384893
2026-12-01,77.40018197212572
2027-01-01,82.38438142913708
2027-02-01,83.83390521482922
2027-03-01,92.507016832685
2027-04-01,88.07726577818806
2027-05-01,78.70541220249959
2027-06-01,78.56940207925683
2027-07-01,76.46988699767189
2027-08-01,78.86950459237866
2027-09-01,83.8699405157112
2027-10-01,82.3472852758952
2027-11-01,80.28944475982179
2027-12-01,76.4005942023492
2028-01-01,80.09176801814012
2028-02-01,81.55971890182907
2028-03-01,86.58752580684697
2028-04-01,84.41933115951483
2028-05-01,76.37992006275617
2028-06-01,80.97786198400844
2028-07-01,78.82856670910719
2028-08-01,80.1258814787691
2028-09-01,84.69188349503882
2028-10-01,84.01576077337567
2028-11-01,79.80178347443348
2028-12-01,77.15310538824552
2029-01-01,81.83137433059018
2029-02-01,83.28744305230268
2029-03-01,91.30307421568455
2029-04-01,87.23902999884157
2029-05-01,78.14006347543484
2029-06-01,79.19167106552352
2029-07-01,77.07622331827305
2029-08-01,79.18898192275115
2029-09-01,84.07872525985842
2029-10-01,82.77685567528324
2029-11-01,80.16835891473542
2029-12-01,76.59033012580018
2030-01-01,80.53812138457214
2030-02-01,82.0042443950147
2030-03-01,87.93765061296247
2030-04-01,85.16868886175769
2030-05-01,76.82899986572056
2030-06-01,80.54256519422158
