date,actual,forecast,logit_pred,logit_actual,residuals,garch_lower,garch_upper,xgb_pred,blend_pred
2024-07-01,81.75,70.96043500087858,0.8934429148099409,1.4994581690705668,0.606015254260626,48.41181869480461,86.41852397338226,75.02856,72.78844456244309
2024-08-01,80.49999999999999,88.04967324117379,1.9970701829786763,1.4178038604015062,-0.5792663225771701,73.74253119455177,95.08148881562795,79.94622,84.40839382816142
2024-09-01,83.60000000000001,84.31811810331041,1.6820388333459053,1.6287131731606315,-0.05332566018527385,67.0438966062642,93.42609943244553,78.44523,81.6791411774399
2024-10-01,85.0,81.26100025733186,1.4670182427002116,1.7345461555802422,0.2675279128800305,61.95841950597698,92.02961405651625,80.82176,81.06363090723768
2024-11-01,78.25,82.9494802267751,1.5820044699553666,1.280261875402044,-0.30174259455332253,64.46182798009367,92.8818832768438,81.283005,82.20064999552562
2024-12-01,75.79999999999998,73.01572940338238,0.9953974011141216,1.1417175305504945,0.14632012943637296,50.03983304776351,87.966622891321,76.400894,74.53685123543696
2025-01-01,82.0,86.18092390163125,1.8303381314439617,1.5163041304032774,-0.31403400104068435,69.62179516990851,94.43550910322368,82.939606,84.72443929208953
2025-02-01,86.5,82.30643695914739,1.537204048064745,1.8573922177895426,0.32018816972479747,62.926426912069225,92.72695434118761,79.94594,81.24575054432063
2025-03-01,95.00000000000001,86.66923884046969,1.8719613134297282,2.9442495254241643,1.0722882119944361,70.19767453394374,94.72196509913185,79.70438,83.53958348652364
2025-04-01,90.0,86.01416222043851,1.8164068568162353,2.197135693385271,0.38072883656903556,68.87160042064015,94.47409349987984,81.8392,84.13814697205225
2025-05-01,81.75,89.60688598082245,2.1542036430495566,1.4994581690705668,-0.6547454739789897,75.49018657199868,96.02180338600108,80.5615,85.5423481990498
2025-06-01,79.66666666666667,83.65930887528718,1.6330450779569519,1.3655530608621196,-0.2674920170948323,64.49242988803256,93.51993749829012,77.55992,80.91855548852185
