,predicted_mean
2025-07-01,80.54978808914215
2025-08-01,81.18630068058236
2025-09-01,83.64071617631797
2025-10-01,83.32869060616851
2025-11-01,79.91004075842451
2025-12-01,75.75944517730599
2026-01-01,83.6492561864264
2026-02-01,87.57578066216166
2026-03-01,89.32728831618407
2026-04-01,86.7295729092764
2026-05-01,79.54952763117676
2026-06-01,79.69162199150352
2026-07-01,80.62043096341712
2026-08-01,81.21878909882592
2026-09-01,83.65444012067277
2026-10-01,83.33525990623748
2026-11-01,79.91361966848433
2026-12-01,75.76137511716438
2027-01-01,83.64993376070558
2027-02-01,87.5760347607718
2027-03-01,89.32739326944053
2027-04-01,86.72963263516094
2027-05-01,79.54956742550394
2027-06-01,79.69164065309529
2027-07-01,80.62043945583405
2027-08-01,81.21879300726319
2027-09-01,83.6544417722368
2027-10-01,83.3352606969411
2027-11-01,79.9136200992935
2027-12-01,75.76137534948894
2028-01-01,83.64993384227226
2028-02-01,87.57603479136054
2028-03-01,89.327393282075
2028-04-01,86.72963264235086
2028-05-01,79.54956743029449
2028-06-01,79.69164065534183
2028-07-01,80.62043945685639
2028-08-01,81.2187930077337
2028-09-01,83.65444177243562
2028-10-01,83.3352606970363
2028-11-01,79.91362009934535
2028-12-01,75.76137534951691
2029-01-01,83.64993384228208
2029-02-01,87.57603479136422
2029-03-01,89.32739328207651
2029-04-01,86.72963264235173
2029-05-01,79.54956743029506
2029-06-01,79.69164065534208
2029-07-01,80.6204394568565
2029-08-01,81.21879300773375
2029-09-01,83.65444177243565
2029-10-01,83.3352606970363
2029-11-01,79.91362009934535
2029-12-01,75.76137534951691
2030-01-01,83.64993384228208
2030-02-01,87.57603479136422
2030-03-01,89.32739328207651
2030-04-01,86.72963264235173
2030-05-01,79.54956743029506
2030-06-01,79.69164065534208
