date,actual,forecast,logit_pred,logit_actual,residuals,garch_lower,garch_upper,xgb_pred,blend_pred
2024-07-01,81.75,81.03039913576285,1.4519462653183286,1.4994581690705668,0.04751190375223824,65.88756309948135,90.42800543411322,75.71088,75.71090934151134
2024-08-01,80.49999999999999,78.59312540099101,1.3005381299374972,1.4178038604015062,0.11726573046400901,61.78889479474437,89.28865459891598,78.10483,78.10483097048798
2024-09-01,83.60000000000001,87.03801797254101,1.9042587413916494,1.6287131731606315,-0.27554556823101795,72.20609813078339,94.55253233729889,83.20173,83.20175173168192
2024-10-01,85.0,80.93691325908318,1.445876068013318,1.7345461555802422,0.28867008756692414,61.82284937187603,91.75743342217567,78.90504,78.90504635749721
2024-11-01,78.25,82.78736184601642,1.5705855085399114,1.280261875402044,-0.29032363313786735,64.67805756733645,92.66539655905484,80.325584,80.32559724372103
2024-12-01,75.79999999999998,74.4742099976052,1.0707378292894931,1.1417175305504945,0.0709797012610014,56.72485328108254,86.65636044945407,80.340744,80.3407072971121
2025-01-01,82.0,76.96703988861996,1.2064206157908948,1.5163041304032774,0.3098835146123826,55.44269604722603,89.97419256264402,79.12375,79.12373454666125
2025-02-01,86.5,67.77589812847687,0.7434756912368488,1.8573922177895426,1.1139165265526938,17.701141428290626,95.363960756378,82.243286,82.24320185426949
2025-03-01,95.00000000000001,77.7688150600462,1.252212363623491,2.9442495254241643,1.6920371618006733,10.987133967914986,99.0022474912926,81.45566,81.45563324683003
2025-04-01,90.0,89.66672082691113,2.160644402790852,2.197135693385271,0.036491290594419024,79.72448792979195,95.03746090518787,85.314186,85.31420941761579
2025-05-01,81.75,80.84848624510661,1.4401552579964574,1.4994581690705668,0.059302911074109455,65.55610506959104,90.35095188223592,79.99888,79.99888738313045
2025-06-01,79.66666666666667,88.96639397543751,2.0872336060585592,1.3655530608621196,-0.7216805451964396,62.07117357699885,97.54528061996115,85.86241,85.86243064589681
