,predicted_mean
2025-07-01,77.86869239356434
2025-08-01,80.02103377642717
2025-09-01,84.05588839479304
2025-10-01,84.11546413530543
2025-11-01,78.46552466720978
2025-12-01,76.35426230409831
2026-01-01,81.93352163819065
2026-02-01,84.58547022811528
2026-03-01,94.98326561455352
2026-04-01,89.87422434465122
2026-05-01,81.38493386596743
2026-06-01,79.19374901544225
2026-07-01,77.84511581028974
2026-08-01,80.02103377642717
2026-09-01,84.05588839479304
2026-10-01,84.11546413530543
2026-11-01,78.46552466720978
2026-12-01,76.35426230409831
2027-01-01,81.93352163819065
2027-02-01,84.58547022811528
2027-03-01,94.98326561455352
2027-04-01,89.87422434465122
2027-05-01,81.38493386596743
2027-06-01,79.19374901544225
2027-07-01,77.84511581028974
2027-08-01,80.02103377642717
2027-09-01,84.05588839479304
2027-10-01,84.11546413530543
2027-11-01,78.46552466720978
2027-12-01,76.35426230409831
2028-01-01,81.93352163819065
2028-02-01,84.58547022811528
2028-03-01,94.98326561455352
2028-04-01,89.87422434465122
2028-05-01,81.38493386596743
2028-06-01,79.19374901544225
2028-07-01,77.84511581028974
2028-08-01,80.02103377642717
2028-09-01,84.05588839479304
2028-10-01,84.11546413530543
2028-11-01,78.46552466720978
2028-12-01,76.35426230409831
2029-01-01,81.93352163819065
2029-02-01,84.58547022811528
2029-03-01,94.98326561455352
2029-04-01,89.87422434465122
2029-05-01,81.38493386596743
2029-06-01,79.19374901544225
2029-07-01,77.84511581028974
2029-08-01,80.02103377642717
2029-09-01,84.05588839479304
2029-10-01,84.11546413530543
2029-11-01,78.46552466720978
2029-12-01,76.35426230409831
2030-01-01,81.93352163819065
2030-02-01,84.58547022811528
2030-03-01,94.98326561455352
2030-04-01,89.87422434465122
2030-05-01,81.38493386596743
2030-06-01,79.19374901544225
