,predicted_mean
2025-07-01,81.52401776725833
2025-08-01,83.33767976987434
2025-09-01,84.97808631773792
2025-10-01,84.3625335005082
2025-11-01,80.92217508518425
2025-12-01,76.73154935864109
2026-01-01,84.28739746223654
2026-02-01,88.29753224889966
2026-03-01,89.20946778088884
2026-04-01,86.89173038908814
2026-05-01,80.68877151538804
2026-06-01,81.00548254551313
2026-07-01,83.18251287859171
2026-08-01,83.33767976987434
2026-09-01,84.97808631773792
2026-10-01,84.3625335005082
2026-11-01,80.92217508518425
2026-12-01,76.73154935864109
2027-01-01,84.28739746223654
2027-02-01,88.29753224889966
2027-03-01,89.20946778088884
2027-04-01,86.89173038908814
2027-05-01,80.68877151538804
2027-06-01,81.00548254551313
2027-07-01,83.18251287859171
2027-08-01,83.33767976987434
2027-09-01,84.97808631773792
2027-10-01,84.3625335005082
2027-11-01,80.92217508518425
2027-12-01,76.73154935864109
2028-01-01,84.28739746223654
2028-02-01,88.29753224889966
2028-03-01,89.20946778088884
2028-04-01,86.89173038908814
2028-05-01,80.68877151538804
2028-06-01,81.00548254551313
2028-07-01,83.18251287859171
2028-08-01,83.33767976987434
2028-09-01,84.97808631773792
2028-10-01,84.3625335005082
2028-11-01,80.92217508518425
2028-12-01,76.73154935864109
2029-01-01,84.28739746223654
2029-02-01,88.29753224889966
2029-03-01,89.20946778088884
2029-04-01,86.89173038908814
2029-05-01,80.68877151538804
2029-06-01,81.00548254551313
2029-07-01,83.18251287859171
2029-08-01,83.33767976987434
2029-09-01,84.97808631773792
2029-10-01,84.3625335005082
2029-11-01,80.92217508518425
2029-12-01,76.73154935864109
2030-01-01,84.28739746223654
2030-02-01,88.29753224889966
2030-03-01,89.20946778088884
2030-04-01,86.89173038908814
2030-05-01,80.68877151538804
2030-06-01,81.00548254551313
